Alerts	Trigger
https://site.geoedge.com/analyticsv2/ad/28473859904/50321f8b79c0413fee60cf9afb391aff/alert:5.609289598577E%2B20	Deceptive Site 
https://site.geoedge.com/analyticsv2/ad/28473859118/5ecfc9232a663afab41435d3b77347df/alert:5.609289194021E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473845805/4f266abb102ed621dfaaf337e29f23f8/alert:5.6092836454161E%2B20	Back Button Hijack 
https://site.geoedge.com/analyticsv2/ad/28473837912/594d41a3d33a587297bbeebaff17c3fa/alert:5.609280881229E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473836685/cd009cee66a182f1273005a8ffd85ffe/alert:5.6092802719155E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473825216/0fdd891d4ab2b42537c758a277a9b01b/alert:5.609273394664E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473823911/d7d6973b5afd6988dda29d44285ac02b/alert:5.6092729932199E%2B20	Back Button Hijack 
https://site.geoedge.com/analyticsv2/ad/28473822704/c26222872d58165a60565c5641b9f17f/alert:5.6092726822662E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473821839/7ba115bd3f0605ccb374276fc277d22a/alert:5.6092724759863E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473821305/03e0b643f657346086f98a1040d16cb8/alert:5.6092723292178E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473819097/23ec8a58df008ad1b4adb9c109a83808/alert:5.6092718612177E%2B20	Back Button Hijack 
https://site.geoedge.com/analyticsv2/ad/28473818983/2fff1f0d7ee92d723946c11df3c78c02/alert:5.6092717271426E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473815285/8edcf791c77a5db8e1cf3d5f5e5beaed/alert:5.6092706959691E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473814304/a6921403e94856c0db9749744cc3b884/alert:5.6092704625664E%2B20	Deceptive Site
https://site.geoedge.com/analyticsv2/ad/28473812694/7652ea8dba2615acbf034d70dc3575a9/alert:5.6092700688059E%2B20	Deceptive Site
